item_id,acronym,sentence,gold_expansion,candidates,n_candidates,provenance,source,page_title,review_verdict
kn-0020,קמ״ש,"האם ידוע למשטרה כמה נהגים נתפסו במהלך שנת 1993 כשהם נוהגים במהירות העולה על 130 קמ""ש?",קילומטרים לשעה,קילומטרים לשעה | קצין משמרת | קצין משפטים | ארבע מאות וארבעים (גימטריה),4,knesset,knesset,13_ptm_532016.docx,clean
kn-0021,ש״ח,"אבל לאחר החלטת ראש ההוצאה לפועל כמה ישלם בגין החוב, משלם החייב את מחצית האגרה השנייה, 35 ש""ח, פעם אחת, בגין כל הפקודות שהובאו בפני בית-המשפט באותו שלב.",שקל חדש,ש.ח. | שקל חדש | שידור חוזר | שומר חינם | שטר חוב | שלוש מאות ושמונה (גימטריה),6,knesset,knesset,13_ptm_532016.docx,clean
kn-0022,ש״ח,"בפועל הביא המצב לכך, שמשטרת ישראל ביצעה את צווי המאסר בעלות ממוצעת של כ-42 ש""ח לצו, במקום 70 ש""ח שאותם קבע המחוקק.",שקל חדש,ש.ח. | שקל חדש | שידור חוזר | שומר חינם | שטר חוב | שלוש מאות ושמונה (גימטריה),6,knesset,knesset,13_ptm_532016.docx,clean
kn-0023,השב״ס,"בעקבות הביקור והדיונים שקיים הנציב עם קציני המטה החליט נציב השב""ס על הצעדים הבאים: א.",שירות בתי הסוהר,שירות בתי הסוהר | השאלה בין-ספרייתית | שלוש מאות ושישים ושבע (גימטריה),3,knesset,knesset,13_ptm_532016.docx,clean
kn-0024,השב״ס,"יש לציין שנציב השב""ס שוחח במהלך ביקורו עם כל האסירים, תא אחר תא, והוברר שחלק מן הטענות שהובאו בכתבה הוכחשו על-ידי האסירים, ואחרות היו מוגזמות או מופרכות.",שירות בתי הסוהר,שירות בתי הסוהר | השאלה בין-ספרייתית | שלוש מאות ושישים ושבע (גימטריה),3,knesset,knesset,13_ptm_532016.docx,clean
kn-0025,ח״י,"בסימן ח""י תומכים, הצעת החוק אושרה והפכה לחוק, חברי הכנסת.",שמונה עשרה בגימטריה,חוק יסוד | חיל ים | חות יאיר (ספר) | חיה יחידה | חק יעקב (ספר) | חרם יהושע (יהדות) | שמונה עשרה בגימטריה,7,knesset,knesset,13_ptm_532016.docx,clean
kn-0026,ד״ר,"אני לא אשכח איך פעם, במשא-ומתן על ההסדר עם הסורים ב-1974, אמר לי ד""ר קיסינג'ר: מה יש לגנרלים לעשות במשא-ומתן?",דוקטור,דוקטור | דברי רבי־ | דפוס ראשון | דברים רבה | מאתיים וארבע (גימטריה),5,knesset,knesset,13_ptm_532017.docx,clean
kn-0027,י״ח,"אדוני היושב-ראש, כנסת נכבדה, בליל שבת, י""ח בטבת, הפגינו תושבי בני-ברק נוכח חילולי שבת הנעשים באזור התעשייה, בכלל זה ב""מכון גאלופ"", שפגעו ברגשות התושבים.",שמונה עשרה (גימטריה),יוסף חיים | יודעי חן | שמונה עשרה (גימטריה),3,knesset,knesset,13_ptm_532017.docx,human_review
kn-0028,ד״ר,"אני רוצה להזכיר, שמחקר של ד""ר בן-יהודה מהאוניברסיטה העברית קבע, שבתקופת המנדט הבריטי נרצחו כ-50 יהודים שנחשדו בשיתוף פעולה עם הבריטים, על-ידי ארגונים יהודיים.",דוקטור,דוקטור | דברי רבי־ | דפוס ראשון | דברים רבה | מאתיים וארבע (גימטריה),5,knesset,knesset,13_ptm_532017.docx,clean
kn-0029,ש״ח,"איך ייתכן שמשכורתו של מרצה באוניברסיטה, לאחר 24 שנות לימוד, אינה יותר, אדוני שר האוצר, מ-5,018 ש""ח, ומשכורתו של פרופסור מן המניין, לאחר 30 שנות עבודה, אינה עולה על 5,058 ש""ח ברוטו, לא נטו, חס וחלילה?",שקל חדש,ש.ח. | שקל חדש | שידור חוזר | שומר חינם | שטר חוב | שלוש מאות ושמונה (גימטריה),6,knesset,knesset,13_ptm_532017.docx,clean
kn-0030,ש״ח,"האין מצב זה מאלץ אותו לעסוק בחלטורות שונות כדי להשלים את דמי מחייתו, או אפילו כדי להגיע לגובה ההוצאה הממוצעת למשפחה בת ארבע נפשות, כלומר – כדי שיגיע לכ-5,000 ש""ח נטו?",שקל חדש,ש.ח. | שקל חדש | שידור חוזר | שומר חינם | שטר חוב | שלוש מאות ושמונה (גימטריה),6,knesset,knesset,13_ptm_532017.docx,clean
kn-0031,רש״י,"שואל רש""י: וכי עלתה על לב שזקני בית-דין שופכי דמים אלה?",ר' שלמה יצחקי,ר' שלמה יצחקי | רחיים של יד | חמש מאות ועשר (גימטריה),3,knesset,knesset,13_ptm_532017.docx,clean
kn-0032,אש״ל,"ולעניין השבתון שנאמר בדברי השר ובדברי חבר הכנסת פורז: כששר נוסע לחוץ-לארץ הוא מקבל אש""ל, הוא לא חוזר עם דולרים.",אכילה שתיה לינה,אין שומעין לו | איפה שלמה | אכילה שתיה לינה | שלוש מאות ושלושים ואחת (גימטריה),4,knesset,knesset,13_ptm_532017.docx,clean
kn-0033,הנ״ל,"ועדת השרים לענייני חקיקה החליטה להתנגד להצעת החוק הנ""ל, ועל כן הנני מבקש מהכנסת להסיר את הצעת החוק מסדר-היום.",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532017.docx,clean
kn-0034,הנ״ל,"העניין כולו מצוי, כאמור, בבדיקת הגורמים הנ""ל, תוך התכתבות ובירורים עובדתיים ומשפטיים עם חברות הביטוח והבנקים הנוגעים לעניין.",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532017.docx,clean
kn-0035,הנ״ל,"כיוון שהאחראי לביטוח לא כתב ולא אמר לי כמה זמן יימשך בירור העניין, אני אהיה מוכן להודיע לך בתוך כמה זמן תקבל תשובה ותיקבע עמדת הגורמים המפקחים הנ""ל, שכן ייתכן שהכרעתם תהפוך את הדיון כולו למיותר.",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532017.docx,clean
kn-0036,ש״ש,"תלמידים יוצאי אתיופיה שעלו לאחר 1 בינואר 1991 מקבלים 1.75 ש""ש לתלמיד בכל שכבות הגיל.",שעות שבועיות,שנה שנייה | שנת שירות | שם שמים | שעות שבועיות | שבת שלום | שומר שכר | שב שמעתתא | שעת שינה | שעות שנתיות | שבועת שוא | שבלת שועל | שירות שקים | שש מאות (גימטריה),13,knesset,knesset,13_ptm_532017.docx,clean
kn-0037,הנ״ל,"מה היא הסיבה להוצאת הבחינות במקצועות הנ""ל ממעגל בחינות הבגרות החיצוניות?",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532017.docx,clean
kn-0038,הנ״ל,"אם כן – האם יימנע ביטול הבחינה הנ""ל, ביטול העלול להפוך מקצוע חשוב זה למקצוע משני?",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532017.docx,clean
kn-0039,הנ״ל,"האם אין התהליך הנ""ל מהווה סממן לכרסום המתמשך במעמד הציונות במערכת החינוך?",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532017.docx,clean
kn-0040,הנ״ל,"המגזר החרדי זכה בשנים האחרונות לתגבור משמעותי, ואין כל יסוד לטענה הנ""ל.",הנזכר לעיל,הנזכר לעיל | הנראה למעלה | הנזכר למטה | שמונים וחמש (גימטריה),4,knesset,knesset,13_ptm_532017.docx,clean
kn-0041,אצ״ל,"הוא מגיע לחוף, הוא פוגש שם אנשי אצ""ל שכבר היו מגויסים לצבא העברי, ששמעו את פשר העניין והגיעו אליו על מנת להשיב אש ליורים.",ארגון צבאי לאומי,ארגון צבאי לאומי | אין צריך לומר | מאה ועשרים ואחת (גימטריה),3,knesset,knesset,13_ptm_532017.docx,clean
kn-0042,אצ״ל,"והוא מוסיף: כעבור ימים מועטים עמדו בחורי אצ""ל, ביניהם בחורי ""אלטלנה"" שעליהם ירו, בכל החזיתות, כנגד האויב הפולש.",ארגון צבאי לאומי,ארגון צבאי לאומי | אין צריך לומר | מאה ועשרים ואחת (גימטריה),3,knesset,knesset,13_ptm_532017.docx,clean
kn-0043,ש״ח,"אף-על-פי-כן נגרם גירעון לא קטן בשנת 1993, בהיקף של 30 מיליון ש""ח.",שקל חדש,ש.ח. | שקל חדש | שידור חוזר | שומר חינם | שטר חוב | שלוש מאות ושמונה (גימטריה),6,knesset,knesset,13_ptm_532017.docx,clean
kn-0044,ש״ח,"למה הוקפאו 50 מיליון ש""ח מהתקציב לישיבות, שהיו בתקציב השוטף, לפי הסיכומים שסוכמו אתך, עם סיעתך, כאשר הייתם באופוזיציה?",שקל חדש,ש.ח. | שקל חדש | שידור חוזר | שומר חינם | שטר חוב | שלוש מאות ושמונה (גימטריה),6,knesset,knesset,13_ptm_532018.docx,clean
kn-0045,ש״ח,"לפי הסיכום בקדנציה הקודמת, היה צריך להשלים 11,500 מיליון ש""ח לכיסוי הגידול הטבעי.",שקל חדש,ש.ח. | שקל חדש | שידור חוזר | שומר חינם | שטר חוב | שלוש מאות ושמונה (גימטריה),6,knesset,knesset,13_ptm_532018.docx,clean
kn-0046,ש״ס,"אני חשבתי לתומי, שיש כל הזמן שיחות בין מפלגת העבודה ובין ראש הממשלה לבין ש""ס, הרב עובדיה יוסף.",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532019.docx,clean
kn-0047,ש״ס,"הכסף יועבר ל""אל המעיין"", ו-70 מיליון יועברו למשרד הפנים כתוספת למשרד הפנים, כדי שתינתן למוסדות ש""ס.",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532019.docx,clean
kn-0048,ש״ס,"אני אומנם רגיל לכך שאת כל התקדימים עושים על גבה של ש""ס, אבל אני מקווה שאת התקדים הזה לא תיצרו הפעם, ותקיימו את הנוהל הזה, בעיקר כי קשה לי לנאום וקריאות ביניים מפריעות לי.",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532019.docx,clean
kn-0049,ש״ס,"אדוני היושב-ראש, חברי הכנסת, שרי הממשלה, תנועת ש""ס וחברי הכנסת שלה אמונים על כך שהמצע המדיני והחברתי שלה הוא פסיקת הרב עובדיה יוסף ומועצת חכמי התורה, ויצאנו עם זה אל הציבור מאז הקמתה של תנועת ש""ס.",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532019.docx,clean
kn-0050,ש״ס,"זה לא דבר חדש, וזה לא בא בעקבות ההסכם הזה ולא לאור כניסתה של ש""ס לממשלה הזאת, שהייחוד שלה וזכות קיומה היו נושא השלום.",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532019.docx,clean
kn-0051,ש״ס,"אדוני היושב-ראש, מופעל לחץ על ש""ס, לכן שר החוץ מושך את הזמן.",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532019.docx,clean
kn-0052,ש״ס,"אני מבקש לדעת, הואיל והיו פה הסתודדויות בין שר האוצר לבין סיעת ש""ס – – –",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532019.docx,clean
kn-0053,ש״ס,"עכשיו יקרא לפנינו את הודעת הסיכום של סיעת ש""ס חבר הכנסת פנחסי.",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532019.docx,clean
kn-0054,ש״ס,"אדוני היושב-ראש, הצעת החלטה מטעם סיעת ש""ס: הכנסת קובעת כי לצד הסיכוי לשלום יש חששות, וכי ההסכם ייבחן לפי יכולת העמידה של הממשלה.",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532019.docx,clean
kn-0055,ש״ס,"חברי הכנסת, אנחנו מצביעים על הצעת הסיכום של סיעת ש""ס.",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532019.docx,clean
kn-0056,ש״ס,"אני עסקתי בנושא הזה, ואני רוצה לומר שיש גידול ניכר בגיוס של בחורי ישיבות, דווקא ממוסדות ש""ס.",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532019.docx,clean
kn-0057,י״א,"בכיתות י""א, בשיתוף עם העיריות, נכניס כלימוד חובה לימוד נהיגה ובטיחות, תוך שחרור הנבחנים שיעברו בהצלחה מהצורך לעבור מבחן נוסף בתיאוריה בעת קבלת הרשיון.",שנת הלימודים האחת־עשרה של התלמידים בישראל,יש אומרים | ירא אדוני | שווה בגודלה למרחק כדור-הארץ מהשמש | שנת הלימודים האחת־עשרה של התלמידים בישראל | אחת עשרה (גימטריה),5,knesset,knesset,13_ptm_532020.docx,clean
kn-0058,י״א,"אשר לחינוך: אם אתבקש ללמד בכיתות י""א ובכיתות אחרות, יחד עם משרד החינוך, את נושא הבטיחות, אעשה את זה מכל הלב וברצון.",שנת הלימודים האחת־עשרה של התלמידים בישראל,יש אומרים | ירא אדוני | שווה בגודלה למרחק כדור-הארץ מהשמש | שנת הלימודים האחת־עשרה של התלמידים בישראל | אחת עשרה (גימטריה),5,knesset,knesset,13_ptm_532020.docx,clean
kn-0059,ש״ס,"אם תמציא לי אישור שאתה נציג ש""ס, אני אאפשר לך.",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532020.docx,clean
kn-0060,אג״ם,"בשל חשיבות הנושא הפניתי את הדבר אל ראש אג""ם במטה הארצי של המשטרה, אשר יבחן את הדרכים למנוע הישנות מקרה כמו זה בעתיד.",אגף המבצעים,אגף המבצעים | אגף המטה | אגף המטה הכללי | ארבעים וארבע (גימטריה),4,knesset,knesset,13_ptm_532020.docx,clean
kn-0061,ד״ר,"אני מודה מאוד לחבר הכנסת ד""ר יוסי ונונו, ששואל אותי מה מטרת הדיבור הזה.",דוקטור,דוקטור | דברי רבי־ | דפוס ראשון | דברים רבה | מאתיים וארבע (גימטריה),5,knesset,knesset,13_ptm_532020.docx,clean
kn-0062,ד״ר,"עכשיו ברצוני לפנות אל חבר הכנסת ד""ר רענן כהן.",דוקטור,דוקטור | דברי רבי־ | דפוס ראשון | דברים רבה | מאתיים וארבע (גימטריה),5,knesset,knesset,13_ptm_532020.docx,clean
kn-0063,ד״ר,"אני חושב שמה שעושה בעניין הזה חבר הכנסת ד""ר רענן כהן זו מלאכה חשובה שצריכה לקבל ביטוי, כי בסופו של דבר כאשר אדם הולך לצבא הוא מסכן את הדבר החשוב ביותר, את חייו, והוא מוכן להקריב חיים למען מטרה.",דוקטור,דוקטור | דברי רבי־ | דפוס ראשון | דברים רבה | מאתיים וארבע (גימטריה),5,knesset,knesset,13_ptm_532020.docx,clean
kn-0064,ש״ח,"אם לממשלה יש, נניח, תוכנית השקעות פרודוקטיבית לצמיחה, להשקעות בתשתית, אבל בד בבד היא מעבירה מכספי האוצר למעלה מ-3 מיליארדי ש""ח לסקטור הלא-יצרני, ההסתדרותי, הקיבוצי, הנזק הוא אותו נזק.",שקל חדש,ש.ח. | שקל חדש | שידור חוזר | שומר חינם | שטר חוב | שלוש מאות ושמונה (גימטריה),6,knesset,knesset,13_ptm_532020.docx,clean
kn-0065,ד״ר,"חבר הכנסת איתן, בדקנו בספרי הכנסת מימים ימימה, ומצאנו שאתה צריך לדבר עוד שעתיים וחצי כדי להשיג את השיא של ד""ר בדר.",דוקטור,דוקטור | דברי רבי־ | דפוס ראשון | דברים רבה | מאתיים וארבע (גימטריה),5,knesset,knesset,13_ptm_532020.docx,clean
kn-0066,ד״ר,"בסיכום, אני מבקש לקרוא לכם מאמר של כלכלן, ד""ר סטיבן פלאוט, שניסה לסכם את העידן של הליכוד.",דוקטור,דוקטור | דברי רבי־ | דפוס ראשון | דברים רבה | מאתיים וארבע (גימטריה),5,knesset,knesset,13_ptm_532020.docx,clean
kn-0067,ש״ח,"שכר המינימום עודכן באפריל ל-1,377.9 ש""ח לחודש.",שקל חדש,ש.ח. | שקל חדש | שידור חוזר | שומר חינם | שטר חוב | שלוש מאות ושמונה (גימטריה),6,knesset,knesset,13_ptm_532022.docx,clean
kn-0068,ש״ס,"אני רוצה לשאול אותו ואני רוצה לשאול את מצביעי ש""ס: השתנה משהו?",שומרי תורה ספרדיים,משנה | תלמוד | תלמוד בבלי | תלמוד ירושלמי | שחר סוויסה | שישה סדרים | שעה סמסטריאלית | שומרי תורה ספרדיים | שלוש מאות ושישים (גימטריה),9,knesset,knesset,13_ptm_532022.docx,clean
kn-0069,מו״מ,"זה לא מו""מ, זהו מום – מום ביכולתו של ראש הממשלה לנווט משא-ומתן זה בהצלחה.",משא ומתן,משא ומתן | מקח וממכר | מרכב ומושב | שמונים ושש (גימטריה),4,knesset,knesset,13_ptm_532022.docx,clean
kn-0070,ש״ח,"ביחס לליקויים שנתגלו בשנת 1992, עד היום חברת ""עמידר"" השקיעה כ-5 מיליוני ש""ח בתיקון הליקויים.",שקל חדש,ש.ח. | שקל חדש | שידור חוזר | שומר חינם | שטר חוב | שלוש מאות ושמונה (גימטריה),6,knesset,knesset,13_ptm_532022.docx,clean
kn-0071,ד״ר,"ד""ר ע', שחזר מהשתלמות באישור מנהל בית-החולים, מועסק מאז חזרתו לפי חוזה מיוחד ובאופן זמני; ה.",דוקטור,דוקטור | דברי רבי־ | דפוס ראשון | דברים רבה | מאתיים וארבע (גימטריה),5,knesset,knesset,13_ptm_532022.docx,clean
kn-0072,ד״ר,"(לא נקראה, נמסרה לפרוטוקול) ד""ר רבינוביץ הינו מרצה בכיר באוניברסיטת בר-אילן.",דוקטור,דוקטור | דברי רבי־ | דפוס ראשון | דברים רבה | מאתיים וארבע (גימטריה),5,knesset,knesset,13_ptm_532022.docx,clean
kn-0073,קמ״ט,"כיום מתקיימות התייעצויות בין שירותי בריאות הציבור ביהודה ובשומרון לבין משרד קמ""ט חינוך בנושא היערכות לפעולות הסברה בקרב תלמידים בבתי-ספר.",קצין מטה,קצין מטה | קורס מפקדי טנקים | קצין מיון טרומי | מאה וארבעים ותשע (גימטריה),4,knesset,knesset,13_ptm_532022.docx,clean
kn-0074,ש״ח,"התוספת של שני סגנים על החמישה תעלה לכנסת השלוש-עשרה, רק במשכורות – 48,000 ש""ח בארבע השנים הקרובות; שלא לדבר על כך שצריכים להעמיד לרשותם חדרים ואת כל הדברים האחרים.",שקל חדש,ש.ח. | שקל חדש | שידור חוזר | שומר חינם | שטר חוב | שלוש מאות ושמונה (גימטריה),6,knesset,knesset,13_ptm_532023.docx,clean
kn-0075,מ״ר,"אולם עד מהרה השכירה החברה את הגן כולו, ששטחו 14,000 מ""ר, למר ורטהיימר באופן בלעדי.",מטר רבוע,מטר רבוע | מדרש רבה | מילי־רדיאן | מאתיים וארבעים (גימטריה),4,knesset,knesset,13_ptm_532024.docx,clean
