item_id,acronym,sentence,provisional_expansion,sense_id,gold_expansion,label_status,n_candidates,candidates,provenance,multi_sense_type,batch,source,page_title
ha-00011,אבט״ש,בהמשך סיפר זליגר לחוקרים כיצד גנב רובים מחיילים שביצעו אבט״ש באזור הר חברון.,אבטחת יישובים,אבט״ש.01,אבטחת יישובים,weak,2,אבטחת יישובים | אבטחה שוטפת,substituted,no,3,wikipedia,מחתרת בת עין
ha-00012,אבט״ש,היה פעיל בתפקידי אבט״ש באזור גוש דן במסגרת ההגנה.,אבטחת יישובים,אבט״ש.01,אבטחת יישובים,weak,2,אבטחת יישובים | אבטחה שוטפת,substituted,no,3,wikipedia,שמעון סירוקה
ha-00013,אבט״ש,"במסגרת זו, מופעלות שבע חברות לטובת הפעלת רחפנים למשימות אזרחיות של פיקוד העורף, משטרת ישראל, שמירה על אתרי תשתית ותמיכה בחובבים שמפעילים טיסות לטובת אבט״ש.",אבטחת יישובים,אבט״ש.01,אבטחת יישובים,weak,2,אבטחת יישובים | אבטחה שוטפת,substituted,no,3,wikipedia,ניידות אווירית מתקדמת
ha-00014,אב״ג,"אב״ג איש צידן היה תנא בדור הרביעי או החמישי, בסביבות מאה ה-2 לספירה.",אבא גוריון,אב״ג.01,אבא גוריון,weak,4,אוניברסיטת בן-גוריון | אבא גוריון | אברהם בר גוטלובר | ארכיון בן-גוריון,substituted,yes,3,wikipedia,אבא גוריון איש צידן
ha-00015,אב״ג,"באסתר רבה מובא מאמר זה ללא הדבר הרביעי, ושם אב״ג מוסר את המאמר בשם רבן גמליאל.",אבא גוריון,אב״ג.01,אבא גוריון,weak,4,אוניברסיטת בן-גוריון | אבא גוריון | אברהם בר גוטלובר | ארכיון בן-גוריון,substituted,yes,3,wikipedia,אבא גוריון איש צידן
ha-00016,אב״ג,"גם מהדורה זו אינה מושלמת ובשנים אלו עובדים חוקרים מאוניברסיטת בר-אילן, בריכוזו של פרופ' יוסף תבורי, על ההדרת מדרשי המגילה בכלל, ובכללם מדרש אב״ג.",אבא גוריון,אב״ג.01,אבא גוריון,weak,4,אוניברסיטת בן-גוריון | אבא גוריון | אברהם בר גוטלובר | ארכיון בן-גוריון,substituted,yes,3,wikipedia,מדרש אבא גוריון
ha-00017,אב״ג,"אב״ג, שהתנגד לרעיונותיו של סמולנסקין, הקים את כתב העת ""הבוקר אור"" כמתחרה לעיתונו של סמולנסקין.",אברהם בר גוטלובר,אב״ג.02,אברהם בר גוטלובר,weak,4,אוניברסיטת בן-גוריון | אבא גוריון | אברהם בר גוטלובר | ארכיון בן-גוריון,substituted,yes,3,wikipedia,השחר
ha-00018,אב״ג,רחובותיה קרואים בשמותיהם של סופרים מזרם תנועת ההשכלה כגון אב״ג ויצחק ארטר.,אברהם בר גוטלובר,אב״ג.02,אברהם בר גוטלובר,weak,4,אוניברסיטת בן-גוריון | אבא גוריון | אברהם בר גוטלובר | ארכיון בן-גוריון,substituted,yes,3,wikipedia,ביצרון (שכונה)
ha-00019,אב״ג,בעיר נולדו הסופרים אב״ג ואברהם גולדפאדן אבי תיאטרון יידיש וכן הפסלת חנה אורלוף.,אברהם בר גוטלובר,אב״ג.02,אברהם בר גוטלובר,weak,4,אוניברסיטת בן-גוריון | אבא גוריון | אברהם בר גוטלובר | ארכיון בן-גוריון,substituted,yes,3,wikipedia,סטרוקונסטנטינוב
ha-00020,אב״ג,"אב״ג בנגב היא אוניברסיטה ישראלית בעיר באר שבע, אשר הוקמה ב-1969 וידועה בשמה הנוכחי מ-1974.",אוניברסיטת בן-גוריון,אב״ג.03,אוניברסיטת בן-גוריון,weak,4,אוניברסיטת בן-גוריון | אבא גוריון | אברהם בר גוטלובר | ארכיון בן-גוריון,substituted,yes,3,wikipedia,אוניברסיטת בן-גוריון בנגב
ha-00021,אב״ג,פרופסור משה פריבס נבחר להיות הנשיא הראשון של אב״ג בנגב בשנת 1974.,אוניברסיטת בן-גוריון,אב״ג.03,אוניברסיטת בן-גוריון,weak,4,אוניברסיטת בן-גוריון | אבא גוריון | אברהם בר גוטלובר | ארכיון בן-גוריון,substituted,yes,3,wikipedia,אוניברסיטת בן-גוריון בנגב
ha-00022,אב״ג,"אב״ג התפתחה בקצב מהיר, גם בגידול במספר הסטודנטים וגם בפיתוח מסלולי לימוד חדשים בהתאם לדרישות השוק (כגון הנדסת מערכות תקשורת, הנדסת ביוטכנולוגיה, ביואינפורמטיקה).",אוניברסיטת בן-גוריון,אב״ג.03,אוניברסיטת בן-גוריון,weak,4,אוניברסיטת בן-גוריון | אבא גוריון | אברהם בר גוטלובר | ארכיון בן-גוריון,substituted,yes,3,wikipedia,אוניברסיטת בן-גוריון בנגב
ha-00023,אב״ג,"בשנים בהן עשה שם, ובין השאר, יזם והקים יחד עם שותפיו במכון ובמערך המחשוב האוניברסיטאי את אב״ג הממוחשב.",ארכיון בן-גוריון,אב״ג.04,ארכיון בן-גוריון,weak,4,אוניברסיטת בן-גוריון | אבא גוריון | אברהם בר גוטלובר | ארכיון בן-גוריון,substituted,yes,3,wikipedia,טוביה פרילינג
ha-00024,אב״ד,"כיום, אב״ד הוא הדיין החשוב ביותר שבאותו בית דין.",אב בית דין,אב״ד.01,אב בית דין,weak,2,אב בית דין | אוירודינמיקה בלתי דחיסה,substituted,no,3,wikipedia,אב בית דין
ha-00025,אב״ד,"נְשִׂיא הסַנְהֶדְרִין היה אישיות מרכזית שישבה בראש הסנהדרין הגדולה, כשלצידו מכהן אב״ד.",אב בית דין,אב״ד.01,אב בית דין,weak,2,אב בית דין | אוירודינמיקה בלתי דחיסה,substituted,no,3,wikipedia,נשיא הסנהדרין
ha-00026,אב״ד,"בתקופתו של רבי יהודה הנשיא לא נמנו לצדו אב״ד ונציג החכמים, כנהוג אצל שאר הנשיאים, ונראה שעקב הדומיננטיות שלו, הייתה הסמכות מופקדת בידיו בלבד.",אב בית דין,אב״ד.01,אב בית דין,weak,2,אב בית דין | אוירודינמיקה בלתי דחיסה,substituted,no,3,wikipedia,נשיא הסנהדרין
ha-00027,אב״י,לרוב חצאי הקשת מתחברים במרכזו של הכתר אל המונד - גלובוס מוזהב או עשוי אב״י שנמצא בחלקו העליון של הכתר (מעליו נמצא לרוב צלב).,אבן יקרה,אב״י.02,אבן יקרה,weak,2,אליעזר בן־יהודה | אבן יקרה,substituted,yes,3,wikipedia,חצי קשת
ha-00028,אב״י,העלילה היא על סופרת רומנים רומנטיים שנוסעת לדרום אמריקה לחפש את אחותה שנחטפה בעקבות אוצר של אב״י ולהצילה.,אבן יקרה,אב״י.02,אבן יקרה,weak,2,אליעזר בן־יהודה | אבן יקרה,substituted,yes,3,wikipedia,בעקבות האוצר הרומנטי
ha-00029,אב״י,אחותה איליין (מרי אלן טריינור) מתקשרת אליה בדחיפות מקרטחנה בקולומביה ומודיעה לה כי בעלה אדוארד שחקר אוצר של אב״י נרצח וכי היא נחטפה בידי שני אנשים שדורשים לקבל את המפה שהוא שלח אליה.,אבן יקרה,אב״י.02,אבן יקרה,weak,2,אליעזר בן־יהודה | אבן יקרה,substituted,yes,3,wikipedia,בעקבות האוצר הרומנטי
ha-00030,אב״י,בתקופה הזו נולד איתמר בן-אב״י שנחשב בהיסטוריה הציונות כילד הראשון שעבורו העברית הייתה שפת אם.,אליעזר בן־יהודה,אב״י.01,,unverified,2,אליעזר בן־יהודה | אבן יקרה,natural,yes,3,wikipedia,ספרות עברית
ha-00031,אב״י,"בשם ""בן-אב""י"" הוא השתמש בעיקר כשמו הספרותי.",אליעזר בן־יהודה,אב״י.01,,unverified,2,אליעזר בן־יהודה | אבן יקרה,natural,yes,3,wikipedia,"איתמר בן-אב""י"
ha-00032,אב״י,"לאחר הפיכת הטורקים הצעירים ב-1908, חזר בן-אב""י לירושלים לשמש כעורכו של עיתונו של אביו, ""האור"", שהפך באותו הזמן לעיתון יומי במקום דו-שבועי.",אליעזר בן־יהודה,אב״י.01,,unverified,2,אליעזר בן־יהודה | אבן יקרה,natural,yes,3,wikipedia,"איתמר בן-אב""י"
ha-00033,אב״י,"להנצחת דמותו של אליעזר בן-יהודה, חיבר ירון לונדון את השיר ""אב״י"".",אליעזר בן־יהודה,אב״י.01,אליעזר בן־יהודה,weak,2,אליעזר בן־יהודה | אבן יקרה,substituted,yes,3,wikipedia,אליעזר בן-יהודה
ha-00034,אב״י,"אב״י, החלום ושברו - מבחר כתבים בענייני לשון, ההדיר ראובן סיוון, מוסד ביאליק, 1978.",אליעזר בן־יהודה,אב״י.01,אליעזר בן־יהודה,weak,2,אליעזר בן־יהודה | אבן יקרה,substituted,yes,3,wikipedia,אליעזר בן-יהודה
ha-00035,אב״י,"אליעזר בן-יהודה (הנכד), כל אהבותיו של אב״י, ידיעות ספרים, 2018.",אליעזר בן־יהודה,אב״י.01,אליעזר בן־יהודה,weak,2,אליעזר בן־יהודה | אבן יקרה,substituted,yes,3,wikipedia,אליעזר בן-יהודה
ha-00036,אב״מ,אב״מ היא נושא רגיש עקב העובדה ששיטות האבטחה כשלו לא פעם בגלל מחדלים כמו יישום לקוי או אי הקפדה על נהלים וכללים ראויים.,אבטחת מידע,אב״מ.01,אבטחת מידע,weak,2,אבטחת מידע | אין בעד מה,substituted,yes,3,wikipedia,אבטחת מידע
ha-00037,אב״מ,"אב״מ כוללת העיסוק בהבטחת אמינות נתונים, כך ששלמותם, סודיותם וזמינותם לא תפגע.",אבטחת מידע,אב״מ.01,אבטחת מידע,weak,2,אבטחת מידע | אין בעד מה,substituted,yes,3,wikipedia,אבטחת מידע
ha-00038,אב״מ,"לכן, כל שכבה כוללת מגוון יישומים, טכנולוגיות וחוקים (חוקים, רגולציות, נהלים והוראות עבודה לתהליכים) לאכיפת מדיניות אב״מ תקינה ואמינה.",אבטחת מידע,אב״מ.01,אבטחת מידע,weak,2,אבטחת מידע | אין בעד מה,substituted,yes,3,wikipedia,אבטחת מידע
ha-00039,אב״מ,"אב״מ הוא האלבום השלישי של זמר הראפ הישראלי ""איזי"".",אין בעד מה,אב״מ.02,אין בעד מה,weak,2,אבטחת מידע | אין בעד מה,substituted,yes,3,wikipedia,אין בעד מה
ha-00040,אב״מ,"השתתף בשיר ""הויסקי והג'וני"" מתוך אלבום האולפן הרביעי של הראפר איזי, ""אב״מ"", שיצא בינואר 2020.",אין בעד מה,אב״מ.02,אין בעד מה,weak,2,אבטחת מידע | אין בעד מה,substituted,yes,3,wikipedia,נדב גדג'
ha-00041,אב״מ,"בנוסף התארח באותה השנה בשיר ""בומלה"" של הראפר איזי, מתוך אלבומו השלישי, ""אב״מ"".",אין בעד מה,אב״מ.02,אין בעד מה,weak,2,אבטחת מידע | אין בעד מה,substituted,yes,3,wikipedia,שחר סאול
ha-00042,אב״ש,הגבר רוצה להיות אב ומבקש את עזרת אב״ש ומכאן שם הסרט.,אבינו שבשמיים,אב״ש.01,אבינו שבשמיים,weak,2,אבינו שבשמיים | אבן שושן (המילונאי הנודע),substituted,no,3,wikipedia,אבינו (סרט)
ha-00043,אב״ש,"תפילת יהי רצון מלפני אב״ש, היא קטע תפילה שנאמר ברוב קהילות אשכנז בימי שני וחמישי לאחר הקריאה בתורה קודם הכנסת ספר התורה לארון הקודש, ובקהילות הספרדים בעת ברכת החודש.",אבינו שבשמיים,אב״ש.01,אבינו שבשמיים,weak,2,אבינו שבשמיים | אבן שושן (המילונאי הנודע),substituted,no,3,wikipedia,יהי רצון מלפני אבינו שבשמיים
ha-00044,אב״ש,"בכותל המזרח נקבעו לוחות עץ, המזכירים ארון קודש עליהם חרוטים עשרת הדיברות ותפילת האדון (""אב״ש"") בעברית.",אבינו שבשמיים,אב״ש.01,אבינו שבשמיים,weak,2,אבינו שבשמיים | אבן שושן (המילונאי הנודע),substituted,no,3,wikipedia,כנסיית המשיח
ha-00045,אג״ם,"מפקד אג״ם הוא ראש האגף, קצין בדרגת אלוף.",אגף המבצעים,אג״ם.01,אגף המבצעים,weak,3,אגף המבצעים | אגף המטה | אגף המטה הכללי,substituted,yes,3,wikipedia,אגף המבצעים
ha-00046,אג״ם,בשנת 2007 הוקם בית ספר של אג״ם ונקלט מדור ביקורת גבולות.,אגף המבצעים,אג״ם.01,אגף המבצעים,weak,3,אגף המבצעים | אגף המטה | אגף המטה הכללי,substituted,yes,3,wikipedia,אגף מבצעים ושיטור
ha-00047,אג״ם,בשנים 2011–2012 מוזג אג״ם עם אגף משמר אזרחי.,אגף המבצעים,אג״ם.01,אגף המבצעים,weak,3,אגף המבצעים | אגף המטה | אגף המטה הכללי,substituted,yes,3,wikipedia,אגף מבצעים ושיטור
ha-00048,אג״ם,"בשנת 2016 מונה לראש אג״ם האחראי על בניין הכוח של שירות הביטחון הכללי ובשנת 2018 מונה לסגנו של ראש השירות, נדב ארגמן.",אגף המטה,אג״ם.02,אגף המטה,weak,3,אגף המבצעים | אגף המטה | אגף המטה הכללי,substituted,yes,3,wikipedia,רונן בר
ha-00049,אג״ם,"צפריר כץ (נולד ב-1964) הוא מהנדס ואיש מערכת הביטחון הישראלית בדימוס, כיהן כראש אגף הטכנולוגיה וכראש אג״ם בשירות הביטחון הכללי.",אגף המטה,אג״ם.02,אגף המטה,weak,3,אגף המבצעים | אגף המטה | אגף המטה הכללי,substituted,yes,3,wikipedia,צפריר כץ
ha-00050,אג״ם,ב-2008 יצא ללימודי תואר שני במנהל עסקים באוניברסיטת תל אביב וב-2010 חזר לארגון ומונה לראש אג״ם תפקיד בו כיהן עד 2012.,אגף המטה,אג״ם.02,אגף המטה,weak,3,אגף המבצעים | אגף המטה | אגף המטה הכללי,substituted,yes,3,wikipedia,צפריר כץ
ha-00051,אג״ם,"בספטמבר 1973, ערב מלחמת יום הכיפורים מונה לעוזר ראש אג״ם.",אגף המטה הכללי,אג״ם.03,אגף המטה הכללי,weak,3,אגף המבצעים | אגף המטה | אגף המטה הכללי,substituted,yes,3,wikipedia,אריה לוי (קצין)
ha-00052,אג״ם,"באפריל 1958 מונה לראש אגף ההדרכה, ובאוקטובר אותה שנה לראש אג״ם בדרגת אלוף.",אגף המטה הכללי,אג״ם.03,אגף המטה הכללי,weak,3,אגף המבצעים | אגף המטה | אגף המטה הכללי,substituted,yes,3,wikipedia,מאיר זורע
ha-00053,אג״ם,"בשנת 1956 נתמנה לראש מחלקת מבצעים במטה הכללי ובהמשך לעוזר ראש אג״ם, תפקיד בו שירת במבצע קדש.",אגף המטה הכללי,אג״ם.03,אגף המטה הכללי,weak,3,אגף המבצעים | אגף המטה | אגף המטה הכללי,substituted,yes,3,wikipedia,עוזי נרקיס
ha-00054,אג״מ,אג״מ ושיטור הוא אגף במטה הארצי של משטרת ישראל.,אגף מבצעים,אג״מ.01,אגף מבצעים,weak,2,אגף מבצעים | אגף מטה,substituted,yes,3,wikipedia,אגף מבצעים ושיטור
ha-00055,אג״מ,"בשנת 2018 שונה שם האגף ל""אגף השיטור"" ובשנת 2020 שונה השם ל""אג״מ ושיטור"".",אגף מבצעים,אג״מ.01,אגף מבצעים,weak,2,אגף מבצעים | אגף מטה,substituted,yes,3,wikipedia,אגף מבצעים ושיטור
ha-00056,אג״מ,שירת במשטרת ישראל בדרגת ניצב כראש אג״מ וכמפקד מחוז הצפון.,אגף מבצעים,אג״מ.01,אגף מבצעים,weak,2,אגף מבצעים | אגף מטה,substituted,yes,3,wikipedia,דן רונן
ha-00057,אג״מ,"אגף תכנון וארגון הוא אג״מ במשטרת ישראל שייעודו יזום תהליכי תכנון לבניין הכוח והפעלתו, להובילם ולערוך בקרה על יישומם.",אגף מטה,אג״מ.02,אגף מטה,weak,2,אגף מבצעים | אגף מטה,substituted,yes,3,wikipedia,אגף תכנון וארגון
ha-00058,אג״מ,"אגף ההדרכה הוא אג״מ במשטרת ישראל האחראי על ההכשרה העיונית והמעשית של כלל השוטרים, לוחמי משמר הגבול והמפקדים, לאורך מסלול שירותם במשטרה.",אגף מטה,אג״מ.02,אגף מטה,weak,2,אגף מבצעים | אגף מטה,substituted,yes,3,wikipedia,אגף ההדרכה (משטרת ישראל)
ha-00059,אג״מ,"חגי הדס (נולד ב-7 באוגוסט 1953) הוא איש מערכת הביטחון הישראלית, שירת כראש אג״מ במוסד למודיעין ולתפקידים מיוחדים, אחראי על בניית הכוח.",אגף מטה,אג״מ.02,אגף מטה,weak,2,אגף מבצעים | אגף מטה,substituted,yes,3,wikipedia,חגי הדס
ha-00060,אג״ס,סעיף 1 לחוק מגדיר מהי אג״ס: גוף הנבחר על ידי הסטודנטים בהתאם להוראות החוק.,אגודת סטודנטים,אג״ס.01,אגודת סטודנטים,weak,3,"אגודת סטודנטים | אזור גאוגרפי-סטטיסטי | איתור, גילוי, סימון",substituted,no,3,wikipedia,אגודת סטודנטים
ha-00061,אג״ס,"Kadima Wien) הייתה אג״ס יהודים שנוסדה בווינה ב-25 באוקטובר 1882 על ידי נתן בירנבוים, ראובן בירר, פרץ סמולנסקין ומשה שנירר.",אגודת סטודנטים,אג״ס.01,אגודת סטודנטים,weak,3,"אגודת סטודנטים | אזור גאוגרפי-סטטיסטי | איתור, גילוי, סימון",substituted,no,3,wikipedia,קדימה (אגודת סטודנטים)
ha-00062,אד״ש,"לעומת זאת, הלכת ביתא ישראל כפי שמתבטאת בספר תאזזה סנבת, מחמירה יותר מההלכה הרבנית, ולפיה גם פיקוח נפש אד״ש.",אינו דוחה שבת,אד״ש.01,אינו דוחה שבת,weak,3,אדר שני | אינו דוחה שבת | אחר דרישת שלומו,substituted,no,3,wikipedia,סכנת חיים
ha-00063,אה״ב,מאז התפרקות ברית המועצות בשנת 1991 נחשבת אה״ב מעצמת-העל היחידה בעולם.,ארצות הברית,אה״ב.01,ארצות הברית,weak,4,ארצות הברית | את הבית | את הבשר | את הבהמה,substituted,yes,2,wikipedia,ארצות הברית
ha-00064,אה״ב,אה״ב היא באופן רשמי מדינה בעלת נשק גרעיני וחברת ה־G7.,ארצות הברית,אה״ב.01,ארצות הברית,weak,4,ארצות הברית | את הבית | את הבשר | את הבהמה,substituted,yes,2,wikipedia,ארצות הברית
ha-00065,אה״ב,"אה״ב היא אחת מהמדינות המגוונות ביותר מבחינה אתנית, כתוצאה מהגירה רחבת־היקף מחלקים רבים של העולם.",ארצות הברית,אה״ב.01,ארצות הברית,weak,4,ארצות הברית | את הבית | את הבשר | את הבהמה,substituted,yes,2,wikipedia,ארצות הברית
ha-00066,אה״ב,קיימת מחלוקת בראשונים ובאחרונים אילו סירכות מטריפות אה״ב ואילו אינן אלא ריר שאינו מטריף.,את הבהמה,אה״ב.02,את הבהמה,weak,4,ארצות הברית | את הבית | את הבשר | את הבהמה,substituted,yes,2,wikipedia,סירכא
ha-00067,אה״ב,"לדעת כמה ראשונים, תוקף המנהג הוא מדברי חכמים, היות שיש מיעוט המצוי של סירכות בריאה המטריפות אה״ב, וחכמים קבעו שבכל דיני התורה יש לחשוש למיעוט המצוי ולבדוק היכן שניתן.",את הבהמה,אה״ב.02,את הבהמה,weak,4,ארצות הברית | את הבית | את הבשר | את הבהמה,substituted,yes,2,wikipedia,סירכא
ha-00068,אה״ב,"כשהסירכא 'שלא כסדרן', כלומר נסרכת על שני מקומות בריאה שאינם צמודים זה לזה, היא מטריפה אה״ב, מפני שברבות הזמן היא עשויה לגרום לדופן הריאה להימתח כך שהסירכא תיתלש ויישאר תחתיה נקב המטריף אה״ב.",את הבהמה,אה״ב.02,את הבהמה,weak,4,ארצות הברית | את הבית | את הבשר | את הבהמה,substituted,yes,2,wikipedia,סירכא
ha-00069,אה״ב,"לדוגמה, כדי לשנות את הסיבית ה־300 בזיכרון, המחשב יקרא אה״ב מכתובת 38 בזיכרון, ישנה בו רק את הסיבית הרביעית (300 = 37×8 + 4) וישמור אה״ב כולו חזרה לתוך הזיכרון.",את הבית,אה״ב.03,את הבית,weak,4,ארצות הברית | את הבית | את הבשר | את הבהמה,substituted,yes,2,wikipedia,בית (מחשב)
ha-00070,אה״ב,"לינוס לא שימש רק כהאקר וחוקר סייבר עבור המעניש; הוא מסייע לו לנהל ולהלבין הון אותו הוא לוקח מקורבנותיו, צייד אה״ב הבטוח שלו, הסיע אותו למשימות ""מיוחדות"" והשיג עבורו תחמושת וציוד.",את הבית,אה״ב.03,את הבית,weak,4,ארצות הברית | את הבית | את הבשר | את הבהמה,substituted,yes,2,wikipedia,מיקרוצ'יפ (קומיקס)
ha-00071,אה״ב,"גדל בחווה מחוץ לסנטרל סיטי, ובעקבות האובססיה שלו שרף את ביתו ובמקום לקרוא לעזרה צפה בלהבות מכלות אה״ב בו גדל.",את הבית,אה״ב.03,את הבית,weak,4,ארצות הברית | את הבית | את הבשר | את הבהמה,substituted,yes,2,wikipedia,גל חום (קומיקס)
ha-00072,אה״ב,"מדיחים אה״ב פעמיים, ההדחה היא שפשוף הבשר בכלי עם מים.",את הבשר,אה״ב.04,את הבשר,weak,4,ארצות הברית | את הבית | את הבשר | את הבהמה,substituted,yes,2,wikipedia,הכשרת בשר
ha-00073,אה״ב,"מספיק לצלות אה״ב חצי מזמן הצלייה הרגילה, ואפילו שנשאר דם בבשר, דם זה מותר הוא.",את הבשר,אה״ב.04,את הבשר,weak,4,ארצות הברית | את הבית | את הבשר | את הבהמה,substituted,yes,2,wikipedia,הכשרת בשר
ha-00074,אה״ב,"בית מטבחיים או בשמו הנוסף ""משחטה"" הוא מפעל לעיבוד בשר, אליו מביאים בעלי חיים המיועדים לאכילה, ממיתים אותם לצורך אכילתם, ובהמשך התהליך מנקים אה״ב, מפרקים אותו לחלקיו, עד לאריזתו ושיווקו לצרכן.",את הבשר,אה״ב.04,את הבשר,weak,4,ארצות הברית | את הבית | את הבשר | את הבהמה,substituted,yes,2,wikipedia,בית מטבחיים
ha-00075,אה״ק,"התגבשות אה״ק או ההיכל כמקום אחסון קבוע של ספרי התורה החלה בגולה במאה השלישית, ובארץ ישראל במאה הרביעית.",ארון הקודש,אה״ק.01,ארון הקודש,weak,3,ארץ הקודש | ארון הקודש | אוסילטור הרמוני קוונטי,substituted,yes,2,wikipedia,ארון קודש
ha-00076,אה״ק,"גולת הכותרת של ממצאי החפירה באום אל קנאטר הייתה ""היכלית"" - אה״ק מפואר, בצמוד לקיר החזית הדרומית הפונה לירושלים.",ארון הקודש,אה״ק.01,ארון הקודש,weak,3,ארץ הקודש | ארון הקודש | אוסילטור הרמוני קוונטי,substituted,yes,2,wikipedia,ארון קודש
ha-00077,אה״ק,החל מהמאה ה-16 צורת אה״ק נעשית דומה לארון פשוט.,ארון הקודש,אה״ק.01,ארון הקודש,weak,3,ארץ הקודש | ארון הקודש | אוסילטור הרמוני קוונטי,substituted,yes,2,wikipedia,ארון קודש
ha-00078,אה״ק,"המונח ""אה״ק"" מתייחס בדרך כלל לשטח המתאים בערך לשטחי מדינת ישראל ומה שנקרא הרשות הפלסטינית המודרניות.",ארץ הקודש,אה״ק.02,ארץ הקודש,weak,3,ארץ הקודש | ארון הקודש | אוסילטור הרמוני קוונטי,substituted,yes,2,wikipedia,ארץ הקודש
ha-00079,אה״ק,"קדושת הארץ כיעד לעלייה לרגל נוצרית תרמה לפתיחת מסעי הצלב, שכן הנוצרים באירופה ביקשו לכבוש בחזרה את אה״ק מידי המוסלמים, שכבשו אותה מהאימפריה הביזנטית הנוצרית בשנת 630.",ארץ הקודש,אה״ק.02,ארץ הקודש,weak,3,ארץ הקודש | ארון הקודש | אוסילטור הרמוני קוונטי,substituted,yes,2,wikipedia,ארץ הקודש
ha-00080,אה״ק,"במאה ה-19 הפכה אה״ק לנושא של ויכוחים דיפלומטיים, שכן המקומות הקדושים מילאו תפקיד בשאלה המזרחית שהובילה למלחמת קרים בשנות ה-50.",ארץ הקודש,אה״ק.02,ארץ הקודש,weak,3,ארץ הקודש | ארון הקודש | אוסילטור הרמוני קוונטי,substituted,yes,2,wikipedia,ארץ הקודש
ha-00081,או״א,"כיבוד או״א היא מצוות עשה דאורייתא, הדיבר החמישי בעשרת הדיברות.",אב ואם,או״א.01,אב ואם,weak,3,אב ואם | אלוהינו ואלוהי אבותינו | לוגיקה אם ורק אם,substituted,yes,3,wikipedia,כיבוד אב ואם
