item_id,acronym,gold,candidates,shown_order,response,correct,valid,multi_sense_type
ha-00843,דפ״א,דיודה פולטת אור,דיודה פולטת אור | דרך פעולה אפשרית,,דיודה פולטת אור,True,True,yes
ha-00844,דפ״א,דיודה פולטת אור,דיודה פולטת אור | דרך פעולה אפשרית,,דיודה פולטת אור,True,True,yes
ha-00845,דפ״א,דיודה פולטת אור,דיודה פולטת אור | דרך פעולה אפשרית,,דיודה פולטת אור,True,True,yes
ha-00846,דפ״א,דרך פעולה אפשרית,דיודה פולטת אור | דרך פעולה אפשרית,,דרך פעולה אפשרית,True,True,yes
ha-00847,דפ״א,דרך פעולה אפשרית,דיודה פולטת אור | דרך פעולה אפשרית,,דרך פעולה אפשרית,True,True,yes
ha-01377,יעב״ץ,מבעלי התוספות,"מבעלי התוספות | מחכמי מרוקו במאה ה-18 | (1698 - 1776), מגדולי הרבנים במאה ה-18",,רבי יעקב בן צדוק,False,False,no
ha-01378,יעב״ץ,מבעלי התוספות,"מבעלי התוספות | מחכמי מרוקו במאה ה-18 | (1698 - 1776), מגדולי הרבנים במאה ה-18",,יעקב עמדין בן צבי,False,False,no
ha-01379,יעב״ץ,מבעלי התוספות,"מבעלי התוספות | מחכמי מרוקו במאה ה-18 | (1698 - 1776), מגדולי הרבנים במאה ה-18",,יעקב עמדין בן צבי,False,False,no
ha-01528,כ״ק,כבוד קדושת,כושר קרבי | כבוד קדושת,,כבוד קדושת,True,True,no
ha-01529,כ״ק,כושר קרבי,כושר קרבי | כבוד קדושת,,כושר קרבי,True,True,no
ha-01530,כ״ק,כושר קרבי,כושר קרבי | כבוד קדושת,,כבוד קדושת (או: כבוד קדושתו),False,True,no
ha-01531,כ״ק,כושר קרבי,כושר קרבי | כבוד קדושת,,כושר קרבי,True,True,no
ha-02494,ע״ע,עבודה עצמית,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,,עזרה עצמית,False,False,yes
ha-02495,ע״ע,עבודה עצמית,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,,עבודה עצמית,True,True,yes
ha-02496,ע״ע,עבודה עצמית,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,,עבודה עצמית,True,True,yes
ha-02497,ע״ע,עיין ערך,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,,עיין ערך,True,True,yes
ha-02498,ע״ע,עיין ערך,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,,עיין ערך,True,True,yes
ha-02499,ע״ע,עיין ערך,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,,עיין ערך,True,True,yes
ha-02500,ע״ע,ערך עצמי,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,,ערך עצמי,True,True,yes
ha-02501,ע״ע,ערך עצמי,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,,ערך עצמי,True,True,yes
ha-02502,ע״ע,ערך עצמי,ערך עצמי | עיין ערך | עבודה עצמית | ערעור עבודה,,ערך עצמי,True,True,yes
ha-02612,פ״ח,פיתוחי חותם,פיתוחי חותם | פרטי חקירה,,פחד יצחק,False,False,yes
ha-02613,פ״ח,פיתוחי חותם,פיתוחי חותם | פרטי חקירה,,פנחס חיים (או: פנחס הכהן),False,False,yes
ha-02614,פ״ח,פרטי חקירה,פיתוחי חותם | פרטי חקירה,,פרטי חקירה,True,True,yes
ha-02615,פ״ח,פרטי חקירה,פיתוחי חותם | פרטי חקירה,,פרטי חקירה,True,True,yes
ha-02616,פ״ח,פרטי חקירה,פיתוחי חותם | פרטי חקירה,,פרטי חקירה,True,True,yes
ha-02039,מ״כ,מועדון כדורגל,מועדון כדורגל | מרכז כובד | מפקד כיתה,,מועדון כדורגל,True,True,yes
ha-02040,מ״כ,מועדון כדורגל,מועדון כדורגל | מרכז כובד | מפקד כיתה,,מועדון כדורגל,True,True,yes
ha-02041,מ״כ,מועדון כדורגל,מועדון כדורגל | מרכז כובד | מפקד כיתה,,מועדון כדורגל,True,True,yes
ha-02043,מ״כ,מפקד כיתה,מועדון כדורגל | מרכז כובד | מפקד כיתה,,מפקד כיתה,True,True,yes
ha-02044,מ״כ,מפקד כיתה,מועדון כדורגל | מרכז כובד | מפקד כיתה,,מפקד כיתה,True,True,yes
ha-02045,מ״כ,מפקד כיתה,מועדון כדורגל | מרכז כובד | מפקד כיתה,,מפקד כיתה,True,True,yes
ha-02046,מ״כ,מרכז כובד,מועדון כדורגל | מרכז כובד | מפקד כיתה,,מרכז המסה,False,False,yes
ha-02047,מ״כ,מרכז כובד,מועדון כדורגל | מרכז כובד | מפקד כיתה,,מרכז כובד,True,True,yes
ha-02048,מ״כ,מרכז כובד,מועדון כדורגל | מרכז כובד | מפקד כיתה,,מרכז כובד,True,True,yes
ha-02664,צ״ק,צוות קרקע,צוות קרקע | ציוד קרקע,,צוות קרקע,True,True,no
ha-02665,צ״ק,צוות קרקע,צוות קרקע | ציוד קרקע,,צוות קרקע,True,True,no
ha-02666,צ״ק,צוות קרקע,צוות קרקע | ציוד קרקע,,ציוד קרקע,False,True,no
ha-02667,צ״ק,ציוד קרקע,צוות קרקע | ציוד קרקע,,ציוד קרקע,True,True,no
ha-00543,בע״פ,בעל פה,בעל פה | בעֶרֶב פסח,,בעל פה,True,True,no
ha-00544,בע״פ,בעל פה,בעל פה | בעֶרֶב פסח,,בעל פה,True,True,no
ha-00545,בע״פ,בעל פה,בעל פה | בעֶרֶב פסח,,בעל פה,True,True,no
ha-01766,מהר״ש,רבי שלום מנוישטט,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,,מורנו הרב רבי שלמה (או שמואל),False,False,yes
ha-01767,מהר״ש,רבי שלום מנוישטט,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,,מורנו הרב רבי שלום (או: שלמה / שמואל / שמשון),False,False,yes
ha-01768,מהר״ש,רבי שלום רוקח,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,,מורנו הרב רבי שלום,False,False,yes
ha-01769,מהר״ש,רבי שלום רוקח,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,,מורנו הרב רבי שמואל,False,False,yes
ha-01770,מהר״ש,רבי שלום רוקח,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,,מורנו הרב רבי שלום,False,False,yes
ha-01771,מהר״ש,רבי שמואל יפה אשכנזי,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,,מורנו הרב שמואל,False,False,yes
ha-01772,מהר״ש,רבי שמואל יפה אשכנזי,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,,מורנו הרב רבי שמואל,False,False,yes
ha-01773,מהר״ש,רבי שמואל יפה אשכנזי,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,,מורנו הרב רבי שמואל,False,False,yes
ha-01774,מהר״ש,רבי שמואל שניאורסון,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,,מורנו הרב רבי שמואל,False,False,yes
ha-01775,מהר״ש,רבי שמואל שניאורסון,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,,מורנו הרב רבי שמואל (או: מורנו הרב רבי שלמה),False,False,yes
ha-01776,מהר״ש,רבי שמואל שניאורסון,רבי שלום רוקח | רבי שמואל שניאורסון | רבי שמואל יפה אשכנזי | רבי שלום מנוישטט | רבי שלום כהן מקושטא | רבי שלמה בן יצחק לבית הלוי (השני) | רבי שלמה מלובלין,,מורנו הרב שמואל,False,False,yes
ha-01951,מר״מ,מרפאת מומחים,מרפאת מומחים | מרכז רפואה מיידי,,מרכז רפואי מתווך (או: מרכז רפואה מיידית),False,True,no
ha-01952,מר״מ,מרפאת מומחים,מרפאת מומחים | מרכז רפואה מיידי,,מרכז רפואי מיידי,False,False,no
ha-03143,ש״ל,שבח לאל,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,,שבח לאל,True,True,yes
ha-03144,ש״ל,שבח לאל,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,,שבח לאל,True,True,yes
ha-03145,ש״ל,שבח לאל,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,,שבח לאל,True,True,yes
ha-03146,ש״ל,שושנים לדוד,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,,שם לזכרו,False,False,yes
ha-03147,ש״ל,שושנים לדוד,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,,שמש לוי,False,False,yes
ha-03148,ש״ל,שירות לאומי,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,,שירות לאומי,True,True,yes
ha-03149,ש״ל,שירות לאומי,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,,שירות לאומי,True,True,yes
ha-03150,ש״ל,שירות לאומי,שירות לאומי | שושנים לדוד | שבח לאל | 330 (מספר) | שיבולי לקט או שיבולי הלקט,,שירות לאומי,True,True,yes
ha-03324,ת״ז,תעודת זהות,תעודת זהות | תרשים זרימה | תפוח זהב,,תעודת זהות,True,True,yes
ha-03325,ת״ז,תעודת זהות,תעודת זהות | תרשים זרימה | תפוח זהב,,תעודת זהות,True,True,yes
ha-03326,ת״ז,תעודת זהות,תעודת זהות | תרשים זרימה | תפוח זהב,,תעודת זהות,True,True,yes
ha-03327,ת״ז,תפוח זהב,תעודת זהות | תרשים זרימה | תפוח זהב,,תפוח זהב,True,True,yes
ha-03328,ת״ז,תפוח זהב,תעודת זהות | תרשים זרימה | תפוח זהב,,תפוח זהב,True,True,yes
ha-03329,ת״ז,תפוח זהב,תעודת זהות | תרשים זרימה | תפוח זהב,,תפוח זהב,True,True,yes
ha-03330,ת״ז,תרשים זרימה,תעודת זהות | תרשים זרימה | תפוח זהב,,תרשים זרימה,True,True,yes
ha-03331,ת״ז,תרשים זרימה,תעודת זהות | תרשים זרימה | תפוח זהב,,תרשים זרימה,True,True,yes
ha-03332,ת״ז,תרשים זרימה,תעודת זהות | תרשים זרימה | תפוח זהב,,תרשים זרימה,True,True,yes
ha-01619,מב״ם,המערכה בין המלחמות,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,,המערכה בין המלחמות,True,True,yes
ha-01620,מב״ם,המערכה בין המלחמות,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,,המערכה בין המלחמות,True,True,yes
ha-01621,מב״ם,המערכה בין המלחמות,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,,מערכה בין המלחמות,False,False,yes
ha-01622,מב״ם,מבקר המדינה,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,,משרד ביקורת המדינה (או מבקר המדינה),True,True,yes
ha-01623,מב״ם,מבקר המדינה,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,,מבקר המדינה,True,True,yes
ha-01624,מב״ם,מבקר המדינה,מבקר המדינה | המערכה בין המלחמות | מזר בכיר מתקדם,,משרד ביקורת המדינה (או: מוסד ביקורת המדינה / מבקר המדינה),True,True,yes
ha-01275,ח״צ,חברה ציבורית,חברה ציבורית | חכם צבי (ספר),,חברה ציבורית,True,True,no
ha-01276,ח״צ,חברה ציבורית,חברה ציבורית | חכם צבי (ספר),,חברה ציבורית,True,True,no
ha-01277,ח״צ,חברה ציבורית,חברה ציבורית | חכם צבי (ספר),,חברה ציבורית,True,True,no
ha-01700,מהרי״א,יהודה אסאד,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,,מורנו הרב רבי יהודה אסאד,True,True,yes
ha-01701,מהרי״א,יהודה אסאד,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,,מורנו הרב רבי יהודה אסאד,True,True,yes
ha-01702,מהרי״א,יצחק אבוהב,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,,מורנו הרב רבי יצחק אבוהב,True,True,yes
ha-01703,מהרי״א,יצחק אבוהב,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,,מורנו הרב יצחק אבוהב,True,True,yes
ha-01704,מהרי״א,יצחק אבוהב,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,,מורנו הרב רבי יצחק אבוהב,True,True,yes
ha-01705,מהרי״א,יצחק אברבנאל,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,,מורנו הרב יצחק אברבנאל,True,True,yes
ha-01706,מהרי״א,יצחק אברבנאל,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,,מורנו הרב רבי יצחק אברבנאל,True,True,yes
ha-01707,מהרי״א,יצחק אברבנאל,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,,מורנו הרב רבי יצחק אברבנאל,True,True,yes
ha-01708,מהרי״א,יצחק אדרבי,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,,מורנו הרב יצחק אברבנאל (או: מורנו הרב יוסף אסקפה / מורנו הרב יצחק אבוהב),False,True,yes
ha-01709,מהרי״א,יצחק אדרבי,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,,מורנו הרב רבי יצחק אדארבי,False,False,yes
ha-01710,מהרי״א,יצחק אדרבי,יצחק אברבנאל | יצחק אבוהב | יהודה אסאד | יצחק אייזיק אייכנשטיין | יצחק אדרבי,,הפירוש אינו מופיע במשפט.,False,False,yes
ha-03016,שב״ח,שוהה בלתי חוקי,שוהה בלתי חוקי | שימוש בלתי חוקי (בנשק),,שוהה בלתי חוקי,True,True,no
ha-03017,שב״ח,שוהה בלתי חוקי,שוהה בלתי חוקי | שימוש בלתי חוקי (בנשק),,שוהה בלתי חוקי,True,True,no
ha-03018,שב״ח,שוהה בלתי חוקי,שוהה בלתי חוקי | שימוש בלתי חוקי (בנשק),,שוהה בלתי חוקי,True,True,no
ha-01881,ממ״ק,מיליון מטר מעוקב,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,,מיליון מטר מעוקב,True,True,yes
ha-01882,ממ״ק,מיליון מטר מעוקב,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,,מיליון מטרים מעוקבים,False,False,yes
ha-01883,ממ״ק,מיליון מטר מעוקב,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,,מיליון מטרים מעוקבים (או: מטר מעוקב),False,False,yes
ha-01884,ממ״ק,מילימטר מעוקב,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,,מילימטר מעוקב,True,True,yes
ha-01885,ממ״ק,ממלא מקום קצין,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,,ממלא מקום קצין,True,True,yes
ha-01886,ממ״ק,ממלא מקום קצין,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,,ממלא מקום קצין,True,True,yes
ha-01887,ממ״ק,ממלא מקום קצין,מיליון מטר מעוקב | ממלא מקום קצין | מילימטר מעוקב | מרחב מוגן קומתי,,ממלא מקום קצין,True,True,yes
ha-01811,מט״ח,מטבע חוץ,מטבע חוץ | מרכז לטכנולוגיה חינוכית,,מטבע חוץ,True,True,no
ha-01812,מט״ח,מטבע חוץ,מטבע חוץ | מרכז לטכנולוגיה חינוכית,,מטבע חוץ,True,True,no
ha-01813,מט״ח,מטבע חוץ,מטבע חוץ | מרכז לטכנולוגיה חינוכית,,מטבע חוץ,True,True,no
ha-02032,מ״ט,מאי טעמא,מכונת טיורינג | מאי טעמא | משנה טכני,,מאי טעמא (מה הטעם / מאיזה טעם),True,True,yes
ha-02033,מ״ט,מאי טעמא,מכונת טיורינג | מאי טעמא | משנה טכני,,מאי טעמא (מה הטעם),True,True,yes
ha-02034,מ״ט,מכונת טיורינג,מכונת טיורינג | מאי טעמא | משנה טכני,,מכונת טיורינג,True,True,yes
ha-02035,מ״ט,מכונת טיורינג,מכונת טיורינג | מאי טעמא | משנה טכני,,מכונת טורינג,False,False,yes
ha-02036,מ״ט,מכונת טיורינג,מכונת טיורינג | מאי טעמא | משנה טכני,,מכונת טיורינג,True,True,yes
ha-02037,מ״ט,משנה טכני,מכונת טיורינג | מאי טעמא | משנה טכני,,משנה טכני,True,True,yes
ha-02038,מ״ט,משנה טכני,מכונת טיורינג | מאי טעמא | משנה טכני,,מפקד תותח,False,False,yes
ha-01380,יע״מ,יחידת עיבוד מרכזית (CPU),מעבד | יחידת עיבוד מרכזית (CPU),,יחידת עיבוד מרכזית,False,False,no
ha-01381,יע״מ,יחידת עיבוד מרכזית (CPU),מעבד | יחידת עיבוד מרכזית (CPU),,יחידת עיבוד מרכזית,False,False,no
ha-01382,יע״מ,מעבד,מעבד | יחידת עיבוד מרכזית (CPU),,יחידת עיבוד מרכזית,False,False,no
ha-02269,סאפ,SAP (חברה),בוב סאפ | סאפ לאבס ישראל | SAP (חברה) | סאפ (גלישה) | SAP (חומר) | SAP (מפלגה) | Sap (אלבום),,"מערכות, יישומים ומוצרים בעיבוד נתונים (Systems, Applications & Products in Data Processing)",False,False,yes
ha-01257,ח״כ,חבר כנסת,חבר כנסת | חזקת כשרות,,חבר כנסת,True,True,yes
ha-01258,ח״כ,חבר כנסת,חבר כנסת | חזקת כשרות,,חבר כנסת,True,True,yes
ha-01259,ח״כ,חבר כנסת,חבר כנסת | חזקת כשרות,,חבר כנסת,True,True,yes
ha-01260,ח״כ,חזקת כשרות,חבר כנסת | חזקת כשרות,,חזקת כשרות,True,True,yes
ha-01261,ח״כ,חזקת כשרות,חבר כנסת | חזקת כשרות,,חזקת כשרות,True,True,yes
ha-01262,ח״כ,חזקת כשרות,חבר כנסת | חזקת כשרות,,חזקת כשרות,True,True,yes
ha-00807,דו״ד,דין ודברים,דין ודברים | דת ודין | דורון דרשה,,דין ודברים,True,True,no
ha-00808,דו״ד,דין ודברים,דין ודברים | דת ודין | דורון דרשה,,דין ודברים,True,True,no
ha-00809,דו״ד,דין ודברים,דין ודברים | דת ודין | דורון דרשה,,דין ודברים,True,True,no
ha-01737,מהר״י,רבי יעקב בירב,רבי יעקב בירב | רבי יצחק אבוהב (גאון קסטיליה) | רבי ישראל יעקב אלגאזי | רבי יהודה בן אליעזר הלוי מינץ | רבי יוסף בן אברהם ג'יקטיליה | רבי יעקב בן יהודה וייל | רבי יעקב בן שלמה אבן חביב | רבי ישראל בן רבי חיים ברונא,,מורנו הרב רבי יעקב,False,False,no
ha-01738,מהר״י,רבי יעקב בירב,רבי יעקב בירב | רבי יצחק אבוהב (גאון קסטיליה) | רבי ישראל יעקב אלגאזי | רבי יהודה בן אליעזר הלוי מינץ | רבי יוסף בן אברהם ג'יקטיליה | רבי יעקב בן יהודה וייל | רבי יעקב בן שלמה אבן חביב | רבי ישראל בן רבי חיים ברונא,,מורנו הרב רבי (או: מורנו הרב י...),False,False,no
ha-01739,מהר״י,רבי יעקב בירב,רבי יעקב בירב | רבי יצחק אבוהב (גאון קסטיליה) | רבי ישראל יעקב אלגאזי | רבי יהודה בן אליעזר הלוי מינץ | רבי יוסף בן אברהם ג'יקטיליה | רבי יעקב בן יהודה וייל | רבי יעקב בן שלמה אבן חביב | רבי ישראל בן רבי חיים ברונא,,מורנו הרב רבי יוסף (או יעקב),False,False,no
ha-01740,מהר״י,רבי יצחק אבוהב (גאון קסטיליה),רבי יעקב בירב | רבי יצחק אבוהב (גאון קסטיליה) | רבי ישראל יעקב אלגאזי | רבי יהודה בן אליעזר הלוי מינץ | רבי יוסף בן אברהם ג'יקטיליה | רבי יעקב בן יהודה וייל | רבי יעקב בן שלמה אבן חביב | רבי ישראל בן רבי חיים ברונא,,מורנו הרב רבי יצחק (או: מורנו הרב יוסף / ישראל),False,False,no
ha-01741,מהר״י,רבי ישראל יעקב אלגאזי,רבי יעקב בירב | רבי יצחק אבוהב (גאון קסטיליה) | רבי ישראל יעקב אלגאזי | רבי יהודה בן אליעזר הלוי מינץ | רבי יוסף בן אברהם ג'יקטיליה | רבי יעקב בן יהודה וייל | רבי יעקב בן שלמה אבן חביב | רבי ישראל בן רבי חיים ברונא,,מורנו הרב רבי [שם המתחיל ב-י'],False,False,no
ha-00089,או״פ,או פסול,או פסול | אוניברסיטה פתוחה | אור פנימי | אברים ופדרים,,או פסול,True,True,yes
ha-00090,או״פ,אוניברסיטה פתוחה,או פסול | אוניברסיטה פתוחה | אור פנימי | אברים ופדרים,,האוניברסיטה הפתוחה,False,False,yes
ha-00091,או״פ,אוניברסיטה פתוחה,או פסול | אוניברסיטה פתוחה | אור פנימי | אברים ופדרים,,האוניברסיטה הפתוחה,False,False,yes
ha-00092,או״פ,אוניברסיטה פתוחה,או פסול | אוניברסיטה פתוחה | אור פנימי | אברים ופדרים,,אוניברסיטה פתוחה,True,True,yes
ha-00093,או״פ,אור פנימי,או פסול | אוניברסיטה פתוחה | אור פנימי | אברים ופדרים,,אור ופנימיות,False,False,yes
ha-00094,או״פ,אור פנימי,או פסול | אוניברסיטה פתוחה | אור פנימי | אברים ופדרים,,אותו פוטנציאל,False,False,yes
ha-00299,א״ח,אגף חקירות,אורך חיים | אגף חקירות,,אגף חקירות,True,True,yes
